"start_speed","pfx_x","pfx_z","x0","z0"
93.2,3.34,11.2,1.892,5.643
84.4,-1.51,3.49,2.035,5.923
92.6,2.87,12.93,2.04,5.668
92.9,3.7,8.91,2.212,5.898
82.8,-1.32,0.6,1.856,5.926
83,-2.59,1.38,1.899,5.588
92.4,5.15,12.46,1.997,5.47
81.9,-3.67,2.68,2.1,5.697
85.1,-2.28,4.19,2.038,5.401
96.1,-4.2,9.37,-2.05,6.38
97.9,-5.44,11.36,-2.27,6.01
97.4,-4.98,10.77,-2.1,6.31
87.2,4.27,-1.3,-2.35,6.07
97.8,-6.58,11.65,-2.19,5.99
97.2,-5.67,10.52,-2.19,5.87
94.4,-5.38,11.77,-2.03,6.29
95.7,-4.78,9.85,-2.34,6.21
88.9,2.54,0.93,-2.25,6.03
96.4,-6.19,10.01,-2.4,6.08
96,-5.31,11.65,-2.15,6.07
89.1,-8.72,8.35,-2.14,5.74
96,-3.97,13.55,-1.93,6.09
87.8,6.3,-0.67,-2.23,5.99
97.6,-3.67,9.95,-2.15,6.06
90.1,3.88,0.91,-2.17,6.04
88.8,2.78,0.63,-2.22,6.14
97.5,-4.96,12.01,-1.96,5.91
88.2,2.84,2.57,-2,5.79
95,-4.88,11.95,-2.46,6.06
88.7,3.34,1.87,-2.36,6.15
89.3,4.18,-1.84,-2.01,6.11
96.7,-5.27,11.35,-1.96,5.98
97.1,-5.95,10.05,-2.05,5.88
90,2.14,0.96,-2.09,6.08
96.7,-5.33,9.3,-1.99,6.02
95.3,-6.92,12.02,-2.49,5.94
96,-3.02,10.14,-2.2,6.21
87.8,3.73,-0.07,-2.35,6.11
96.8,-4.26,11,-2.42,6.11
96.3,-2.39,10.08,-2.22,6
97.7,-5.33,10.3,-2.25,6.06
88,5.23,-1.86,-2.11,6.09
96.6,-6.08,11.91,-2.53,6.07
87,6.52,-0.18,-2.11,6.14
93.2,-5.23,10.17,-2.42,6.1
90.3,-10.99,7.47,-2.06,5.71
95.4,-5.7,12.2,-2.49,5.97
96.5,-3.96,12.56,-2.43,6.05
87.3,7.21,-4.1,-2.36,6.18
87.4,7.12,-2.32,-2.27,6.51
86.8,5.29,-0.35,-2.21,6.09
88.8,3.62,1.12,-2.24,6.25
95.3,-5.54,12.58,-2.06,6.2
95.1,-2.19,11.39,-2.24,6.1
94.4,-3.59,10.12,-2.07,6.12
94.6,-5.54,11.14,-2.1,6.02
96.8,-3.56,10.56,-2.18,6.07
96.3,-4.65,13.27,-2.4,6.28
96.2,-5.33,11.19,-2.28,6.15
89.1,-8.19,10.14,-2.19,5.91
97.4,-4.42,11.74,-2.22,6.24
88.8,2.65,2.56,-2.43,6
94.3,-3.25,11.11,-2.3,5.9
94.2,-5.83,12.37,-2.48,5.96
98.1,-6.55,9.84,-2.16,6.15
96.8,-4.62,11.18,-1.79,6.41
89.6,4.64,-0.19,-2.18,5.89
96.5,-5.3,11.94,-1.97,5.97
97.7,-4.88,11.36,-1.96,6.13
97.8,-6.1,9.18,-2.05,6.12
94.2,-5.68,11.35,-2.32,6.13
96.7,-7.59,10.65,-2.47,5.78
96.5,-7.49,11.36,-2.11,6.2
96,-8.51,11.92,-2.19,5.97
88.7,5.65,-0.31,-2.34,6.01
90.9,-8.4,8.38,-1.62,6.2
91.3,-6.74,6.77,-1.41,6.01
84.1,-10.18,9.02,-1.68,5.83
92.8,-7.28,9.85,-1.47,6.04
92.5,0.14,10.42,-1.2,6.26
85.8,-6.58,9.45,-1.53,5.85
91.6,-5.83,7.69,-1.64,6.05
87,4.76,3.46,-1.57,6.19
92.7,-0.69,10.38,-1.4,6.12
91,-8.2,7.42,-1.72,6.14
93.1,-4.71,11.29,-1.56,6.17
